ticker,yfinance_symbol,source,updated_at
BPAC5,BPAC5.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
BRAP3,BRAP3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
BRAP4,BRAP4.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
BRAV3,BRAV3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
BRBI11,BRBI11.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
BRKM3,BRKM3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
BRKM5,BRKM5.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
BRKM6,BRKM6.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
BRSR3,BRSR3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
BRSR6,BRSR6.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
BRST3,BRST3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
BSLI3,BSLI3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
BSLI4,BSLI4.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CALI3,CALI3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CAMB3,CAMB3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CAML3,CAML3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CASH3,CASH3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CBAV3,CBAV3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CBEE3,CBEE3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CEAB3,CEAB3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CEBR3,CEBR3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CEBR5,CEBR5.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CEBR6,CEBR6.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CEDO3,CEDO3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CEDO4,CEDO4.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CEEB3,CEEB3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CEGR3,CEGR3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CGAS3,CGAS3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CGAS5,CGAS5.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CGRA3,CGRA3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CGRA4,CGRA4.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CLSC3,CLSC3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CLSC4,CLSC4.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CMIG3,CMIG3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CMIG4,CMIG4.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CMIN3,CMIN3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
COCE3,COCE3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
COCE5,COCE5.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
COGN3,COGN3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
