date,value,series_id
2015-01-01,11805.2,M2SL
2015-02-01,11922.8,M2SL
2015-03-01,11920.5,M2SL
2015-04-01,11954.6,M2SL
2015-05-01,11982.6,M2SL
2015-06-01,12023.2,M2SL
2015-07-01,12067.0,M2SL
2015-08-01,12112.0,M2SL
2015-09-01,12173.9,M2SL
2015-10-01,12225.2,M2SL
2015-11-01,12317.0,M2SL
2015-12-01,12387.9,M2SL
2016-01-01,12518.5,M2SL
2016-02-01,12603.9,M2SL
2016-03-01,12661.8,M2SL
2016-04-01,12743.2,M2SL
2016-05-01,12802.0,M2SL
2016-06-01,12852.5,M2SL
2016-07-01,12911.9,M2SL
2016-08-01,12989.7,M2SL
2016-09-01,13054.9,M2SL
2016-10-01,13122.8,M2SL
2016-11-01,13208.7,M2SL
2016-12-01,13234.9,M2SL
2017-01-01,13315.7,M2SL
2017-02-01,13394.8,M2SL
2017-03-01,13463.6,M2SL
2017-04-01,13521.7,M2SL
2017-05-01,13568.9,M2SL
2017-06-01,13580.5,M2SL
2017-07-01,13643.1,M2SL
2017-08-01,13697.7,M2SL
2017-09-01,13745.1,M2SL
2017-10-01,13800.1,M2SL
2017-11-01,13843.5,M2SL
2017-12-01,13881.7,M2SL
2018-01-01,13900.3,M2SL
2018-02-01,13949.3,M2SL
2018-03-01,14012.7,M2SL
2018-04-01,14035.9,M2SL
2018-05-01,14092.4,M2SL
2018-06-01,14137.2,M2SL
2018-07-01,14174.6,M2SL
2018-08-01,14223.2,M2SL
2018-09-01,14245.5,M2SL
2018-10-01,14256.6,M2SL
2018-11-01,14282.8,M2SL
2018-12-01,14386.8,M2SL
2019-01-01,14459.7,M2SL
2019-02-01,14506.3,M2SL
2019-03-01,14557.5,M2SL
2019-04-01,14594.7,M2SL
2019-05-01,14704.4,M2SL
2019-06-01,14802.8,M2SL
2019-07-01,14886.8,M2SL
2019-08-01,14974.4,M2SL
2019-09-01,15047.0,M2SL
2019-10-01,15184.1,M2SL
2019-11-01,15296.0,M2SL
2019-12-01,15347.5,M2SL
2020-01-01,15427.1,M2SL
2020-02-01,15493.4,M2SL
2020-03-01,16033.0,M2SL
2020-04-01,17065.3,M2SL
2020-05-01,17932.9,M2SL
2020-06-01,18184.3,M2SL
2020-07-01,18335.4,M2SL
2020-08-01,18411.2,M2SL
2020-09-01,18602.5,M2SL
2020-10-01,18757.6,M2SL
2020-11-01,18997.0,M2SL
2020-12-01,19115.7,M2SL
2021-01-01,19379.0,M2SL
2021-02-01,19641.8,M2SL
2021-03-01,19873.2,M2SL
2021-04-01,20175.4,M2SL
2021-05-01,20459.0,M2SL
2021-06-01,20477.1,M2SL
2021-07-01,20633.3,M2SL
2021-08-01,20840.7,M2SL
2021-09-01,20981.0,M2SL
2021-10-01,21160.7,M2SL
2021-11-01,21335.9,M2SL
2021-12-01,21498.8,M2SL
2022-01-01,21650.0,M2SL
2022-02-01,21724.8,M2SL
2022-03-01,21786.8,M2SL
2022-04-01,21769.5,M2SL
2022-05-01,21719.5,M2SL
2022-06-01,21651.2,M2SL
2022-07-01,21652.8,M2SL
2022-08-01,21638.2,M2SL
2022-09-01,21536.5,M2SL
2022-10-01,21461.5,M2SL
2022-11-01,21406.5,M2SL
2022-12-01,21291.0,M2SL
2023-01-01,21279.4,M2SL
2023-02-01,21242.9,M2SL
2023-03-01,20946.8,M2SL
2023-04-01,20761.4,M2SL
2023-05-01,20829.7,M2SL
2023-06-01,20799.3,M2SL
2023-07-01,20791.2,M2SL
2023-08-01,20777.2,M2SL
2023-09-01,20747.8,M2SL
2023-10-01,20732.9,M2SL
2023-11-01,20746.5,M2SL
2023-12-01,20777.9,M2SL
2024-01-01,20843.9,M2SL
2024-02-01,20927.4,M2SL
2024-03-01,20973.9,M2SL
2024-04-01,20959.7,M2SL
2024-05-01,21020.7,M2SL
2024-06-01,21068.4,M2SL
2024-07-01,21095.3,M2SL
2024-08-01,21186.8,M2SL
2024-09-01,21269.5,M2SL
2024-10-01,21331.9,M2SL
2024-11-01,21452.2,M2SL
2024-12-01,21485.9,M2SL
2025-01-01,21548.1,M2SL
2025-02-01,21613.5,M2SL
2025-03-01,21693.7,M2SL
2025-04-01,21775.7,M2SL
2025-05-01,21834.0,M2SL
2025-06-01,21938.8,M2SL
2025-07-01,22020.0,M2SL
2025-08-01,22086.9,M2SL
2025-09-01,22170.3,M2SL
2025-10-01,22245.1,M2SL
2025-11-01,22277.4,M2SL
2025-12-01,22353.5,M2SL
2026-01-01,22429.3,M2SL
2026-02-01,22627.0,M2SL
2026-03-01,22686.4,M2SL
2026-04-01,22804.5,M2SL
